training_losses,training_recalls
0.5743647,0.38125
0.5743244,0.43125
0.5736949,0.43125
0.56751925,0.475
0.57096595,0.45
0.57723594,0.35625
0.58029217,0.425
0.582352,0.3625
0.57662255,0.44375
0.5829331,0.45625
0.5741293,0.5375
0.5848063,0.4625
0.58588135,0.425
0.5832988,0.4375
0.58043975,0.45
0.56367373,0.4625
0.5773978,0.48125
0.5690138,0.46875
0.58386666,0.375
0.5760036,0.4875
0.5779656,0.46875
0.571918,0.45
0.5697329,0.44375
0.59174836,0.40625
0.57860655,0.38125
0.5759986,0.36875
0.56785196,0.4875
0.577958,0.43125
0.5737465,0.35625
0.58086884,0.33125
0.59097147,0.33125
0.5759932,0.43125
0.5766282,0.4625
0.58726025,0.4375
0.57569236,0.35
0.5662137,0.54375
0.5883469,0.4375
0.5866376,0.375
0.58665484,0.4
0.5712279,0.5
0.569849,0.43125
0.56188494,0.48125
0.5843802,0.45
0.588126,0.35625
0.5696001,0.475
0.5765111,0.40625
0.56785333,0.41875
0.57786644,0.44375
0.56691587,0.4625
0.5716952,0.53125
0.56207466,0.54375
0.572006,0.45625
0.5857639,0.3875
0.57137865,0.5125
0.57826376,0.4125
0.5766792,0.39375
0.57640743,0.53125
0.583646,0.45
0.5858791,0.40625
0.5790798,0.3625
0.56457794,0.46875
0.58838665,0.375
0.5776332,0.43125
0.5807289,0.4125
0.5850437,0.43125
0.58954376,0.43125
0.5644379,0.4625
0.57537794,0.4125
0.595403,0.43125
0.5961201,0.3375
0.56692857,0.53125
0.5800828,0.4
0.56519073,0.475
0.56722814,0.4
0.56268287,0.5125
0.5863484,0.44375
0.5745951,0.475
0.5745867,0.50625
0.5739568,0.43125
0.56938964,0.5125
0.5816925,0.4375
0.5884892,0.4125
0.5658754,0.525
0.5809895,0.4125
0.57517594,0.4875
0.575667,0.4375
0.588266,0.4625
0.5655276,0.51875
0.5792049,0.40625
0.5739342,0.40625
0.58281434,0.40625
0.57330036,0.4625
0.56228906,0.475
0.562774,0.55625
0.5733665,0.475
0.58227587,0.46875
0.58127415,0.44375
0.5649746,0.45625
0.5717592,0.36875
0.57463515,0.41875
0.5782059,0.35625
0.5575384,0.55625
0.5740927,0.4625
0.57706964,0.36875
0.5747075,0.43125
0.57034814,0.49375
0.5759773,0.4875
0.5818059,0.35625
0.5804675,0.46875
0.58481324,0.3875
0.57008946,0.525
0.568575,0.4875
0.57338536,0.4
0.56422424,0.4875
0.57405645,0.44375
0.56792194,0.45625
0.58077633,0.45
0.57936907,0.38125
0.5704575,0.58125
0.57968956,0.44375
0.5676993,0.46875
0.5763932,0.425
0.56992084,0.4375
0.5821623,0.3875
0.57975566,0.4125
0.5872138,0.3875
0.5820166,0.41875
0.5647292,0.4125
0.5743669,0.50625
0.5793188,0.44375
0.57816046,0.45
